iter	RMSE
0	18.54767237
1	18.5114095
2	18.47699734
3	18.45330027
4	18.4167001
5	18.39106895
6	18.35860306
7	18.32520911
8	18.30876973
9	18.27420959
10	18.24402776
11	18.21549465
12	18.18794157
13	18.1574048
14	18.13077799
15	18.10813993
16	18.08286081
17	18.06141664
18	18.03537775
19	18.00564845
20	17.98690935
21	17.95734747
22	17.93570131
23	17.91498019
24	17.89165439
25	17.87365487
26	17.85075839
27	17.82692102
28	17.80321113
29	17.78764716
30	17.76696379
31	17.74275679
32	17.71905735
33	17.69489774
34	17.66638595
35	17.6426517
36	17.61880957
37	17.59799589
38	17.57795828
39	17.56361165
40	17.54164145
41	17.51935391
42	17.49733004
43	17.4815967
44	17.46551392
45	17.44608001
46	17.42168324
47	17.39777692
48	17.37666798
49	17.357886
50	17.33373445
51	17.31139081
52	17.29451869
53	17.26861827
54	17.25306889
55	17.22887891
56	17.212082
57	17.19248984
58	17.17691438
59	17.15477815
60	17.13883195
61	17.12795069
62	17.1081952
63	17.09438208
64	17.07642756
65	17.05514508
66	17.03396831
67	17.01845623
68	17.00215673
69	16.98482332
70	16.96954058
71	16.95205304
72	16.93932181
73	16.92486101
74	16.90852349
75	16.89728595
76	16.88038398
77	16.86211072
78	16.84830658
79	16.83146895
80	16.8176882
81	16.8064379
82	16.79342784
83	16.78190638
84	16.76234302
85	16.74030509
86	16.72938787
87	16.71073296
88	16.69471511
89	16.6776431
90	16.67382944
91	16.66042417
92	16.6436375
93	16.62719761
94	16.61248926
95	16.59429307
96	16.58559096
97	16.56951823
98	16.55330527
99	16.53934063
100	16.5256189
101	16.51638294
102	16.5031602
103	16.49009987
104	16.48581994
105	16.47041851
106	16.46137508
107	16.44754558
108	16.43295872
109	16.41667052
110	16.40141677
111	16.38862905
112	16.37608001
113	16.36826292
114	16.35988814
115	16.34900086
116	16.33520418
117	16.32193079
118	16.30380564
119	16.30078158
120	16.28938316
121	16.27960418
122	16.26838458
123	16.26173644
124	16.24802457
125	16.23735224
126	16.21827649
127	16.20683819
128	16.19544758
129	16.18350805
130	16.17139043
131	16.16105343
132	16.15872561
133	16.14514858
134	16.12420117
135	16.11243002
136	16.09798473
137	16.08433327
138	16.0743664
139	16.06767296
140	16.0569539
141	16.04577645
142	16.03635641
143	16.03070181
144	16.02098353
145	16.00867385
146	15.9945455
147	15.98351694
148	15.97524644
149	15.96239141
150	15.95232936
151	15.94236778
152	15.93368227
153	15.92390114
154	15.91199981
155	15.90456267
156	15.89616683
157	15.8842376
158	15.86949563
159	15.86134562
160	15.84535369
161	15.83251289
162	15.82028409
163	15.80637987
164	15.79917627
165	15.7940532
166	15.77474209
167	15.76463561
168	15.75339191
169	15.73874906
170	15.72718105
171	15.72538114
172	15.71365822
173	15.70069359
174	15.69435292
175	15.68088592
176	15.67195441
177	15.66099537
178	15.65045082
179	15.6366775
180	15.62820356
181	15.62070043
182	15.61858564
183	15.61035556
184	15.59891486
185	15.59642085
186	15.59140647
187	15.57941194
188	15.56633663
189	15.55781708
190	15.54684994
191	15.53489886
192	15.52862863
193	15.52603677
194	15.51448643
195	15.49991169
196	15.4897074
197	15.47868878
198	15.46597365
199	15.45255693
200	15.447245
201	15.43870231
202	15.42968623
203	15.42122285
204	15.41459728
205	15.40516639
206	15.3928389
207	15.38278717
208	15.37222478
209	15.36369353
210	15.36035593
211	15.35345409
212	15.34785479
213	15.33492601
214	15.32899148
215	15.3201989
216	15.31012602
217	15.30314624
218	15.29233724
219	15.28563332
220	15.27790353
221	15.26480253
222	15.25577662
223	15.24173459
224	15.23099038
225	15.22048539
226	15.21247409
227	15.20915193
228	15.20050145
229	15.19235317
230	15.18426556
231	15.17517454
232	15.17363387
233	15.16789747
234	15.1656901
235	15.15883384
236	15.15390111
237	15.14461348
238	15.13652722
239	15.12794864
240	15.11968959
241	15.10671579
242	15.1029008
243	15.09658373
244	15.08689604
245	15.07937552
246	15.06845721
247	15.061884
248	15.05246821
249	15.04626049
250	15.03875084
251	15.03009428
252	15.02466249
253	15.01696913
254	15.00902482
255	15.0026202
256	14.99852459
257	14.98659152
258	14.98039673
259	14.97601953
260	14.96972331
261	14.95955583
262	14.95635208
263	14.95057
264	14.94270433
265	14.9366934
266	14.93074739
267	14.92448074
268	14.91141763
269	14.90525857
270	14.90173686
271	14.88918061
272	14.87747746
273	14.8710784
274	14.86394301
275	14.8557781
276	14.8468998
277	14.83900431
278	14.83598307
279	14.82656049
280	14.82095591
281	14.81108737
282	14.80824609
283	14.80338865
284	14.79021705
285	14.78183541
286	14.7779219
287	14.7715646
288	14.76001413
289	14.75505868
290	14.74461194
291	14.735268
292	14.72398848
293	14.72238179
294	14.71602104
295	14.70978999
296	14.70024295
297	14.69318001
298	14.68449
299	14.67677243
300	14.67508096
301	14.66384473
302	14.65467853
303	14.64283561
304	14.63926642
305	14.63161144
306	14.62633421
307	14.61676466
308	14.60807903
309	14.60461045
310	14.6007814
311	14.59427382
312	14.58921318
313	14.57864764
314	14.5774405
315	14.57052786
316	14.56252824
317	14.55143519
318	14.53893188
319	14.52841347
320	14.52108328
321	14.51460831
322	14.50780592
323	14.50147073
324	14.49688332
325	14.49103088
326	14.48529395
327	14.47896548
328	14.47062909
329	14.45525455
330	14.44367844
331	14.43412539
332	14.42574222
333	14.4151829
334	14.41195214
335	14.4054643
336	14.40272723
337	14.3907183
338	14.38015171
339	14.37364513
340	14.36882112
341	14.36371893
342	14.35529734
343	14.34875958
344	14.3471496
345	14.33547266
346	14.32754733
347	14.32581832
348	14.32104397
349	14.31638048
350	14.30861951
351	14.30334247
352	14.29680043
353	14.29092372
354	14.28728562
355	14.27825163
356	14.27045146
357	14.26815994
358	14.26592231
359	14.2630746
360	14.25157485
361	14.24466788
362	14.23976466
363	14.23724356
364	14.23406017
365	14.22531097
366	14.21815301
367	14.20928309
368	14.19995429
369	14.19181455
370	14.1807179
371	14.17161964
372	14.16785036
373	14.16057659
374	14.15578616
375	14.14897335
376	14.1407368
377	14.13144498
378	14.12437148
379	14.11833403
380	14.11565052
381	14.11281695
382	14.10257426
383	14.09583572
384	14.09205326
385	14.08459644
386	14.07652828
387	14.07355907
388	14.07098256
389	14.06143168
390	14.05751048
391	14.05390141
392	14.04774248
393	14.04152735
394	14.03433223
395	14.03024441
396	14.01791012
397	14.00851697
398	14.00022111
399	13.99244753
400	13.98595228
401	13.98250094
402	13.97671196
403	13.96835026
404	13.96257896
405	13.95666533
406	13.9505139
407	13.94180133
408	13.93360395
409	13.92439233
410	13.92014623
411	13.91704483
412	13.9123671
413	13.90700428
414	13.89803506
415	13.8936201
416	13.89048127
417	13.8858535
418	13.8814723
419	13.87438203
420	13.87112941
421	13.86654002
422	13.85812197
423	13.85048267
424	13.84545085
425	13.83485908
426	13.82676496
427	13.81845948
428	13.80962326
429	13.80815576
430	13.80705633
431	13.80198041
432	13.79378178
433	13.78636147
434	13.78402817
435	13.77887094
436	13.7753593
437	13.76884309
438	13.765197
439	13.76319051
440	13.7526355
441	13.74704794
442	13.7420974
443	13.73212661
444	13.7260963
445	13.7170817
446	13.7125059
447	13.70668599
448	13.70173998
449	13.69383674
450	13.68927792
451	13.68441216
452	13.67944005
453	13.6720439
454	13.66623587
455	13.65590536
456	13.6485381
457	13.64603054
458	13.64232585
459	13.63542275
460	13.63046711
461	13.62373202
462	13.61607765
463	13.61076302
464	13.60485224
465	13.59949939
466	13.59148425
467	13.58788585
