iter	Passed	Remaining
0	0	201
1	1	412
2	2	448
3	3	374
4	3	344
5	3	311
6	4	328
7	4	305
8	5	295
9	6	298
10	6	283
11	6	270
12	7	265
13	7	257
14	7	248
15	7	240
16	8	235
17	8	230
18	8	223
19	9	218
20	9	213
21	9	209
22	10	221
23	10	217
24	11	213
25	11	209
26	11	205
27	12	202
28	12	203
29	12	202
30	13	199
31	13	196
32	13	194
33	14	192
34	14	189
35	14	187
36	14	185
37	16	197
38	16	195
39	16	192
40	17	190
41	17	188
42	17	186
43	17	184
44	18	182
45	18	180
46	18	178
47	18	176
48	19	175
49	19	173
50	19	172
51	19	170
52	20	169
53	20	167
54	20	166
55	20	165
56	21	163
57	21	162
58	21	161
59	21	160
60	22	159
61	22	157
62	22	156
63	22	155
64	23	154
65	23	153
66	23	152
67	23	151
68	24	150
69	24	149
70	24	148
71	24	147
72	25	147
73	25	146
74	25	145
75	25	144
76	26	143
77	26	142
78	26	141
79	26	141
80	27	140
81	27	139
82	27	138
83	29	147
84	30	146
85	30	145
86	30	144
87	32	151
88	32	151
89	32	150
90	33	149
91	33	149
92	34	152
93	35	152
94	35	152
95	36	154
96	36	153
97	37	152
98	37	151
99	37	150
100	37	150
101	38	149
102	38	148
103	38	147
104	38	146
105	39	145
106	39	144
107	39	144
108	40	143
109	40	143
110	41	146
111	42	145
112	42	145
113	42	144
114	42	143
115	43	142
116	43	141
117	43	141
118	43	140
119	44	139
120	44	138
121	44	138
122	44	137
123	45	137
124	45	136
125	45	135
126	46	135
127	46	134
128	46	133
129	46	133
130	47	132
131	47	132
132	47	132
133	48	131
134	48	130
135	48	130
136	49	129
137	49	129
138	49	129
139	50	129
140	51	131
141	51	130
142	51	129
143	52	128
144	52	128
145	52	127
146	52	127
147	53	126
148	53	126
149	54	126
150	54	125
151	54	125
152	54	124
153	55	124
154	55	123
155	56	123
156	56	123
157	56	122
158	57	122
159	57	122
160	58	122
161	59	123
162	59	123
163	59	122
164	60	122
165	60	121
166	60	121
167	61	120
168	61	120
169	61	119
170	61	119
171	62	118
172	62	118
173	62	117
174	62	116
175	63	116
176	63	115
177	63	115
178	63	114
179	64	114
180	64	114
181	65	113
182	65	113
183	65	112
184	66	112
185	66	112
186	66	111
187	66	111
188	67	110
189	67	110
190	67	109
191	67	109
192	68	108
193	68	108
194	68	107
195	69	107
196	69	107
197	69	106
198	70	106
199	70	105
200	70	105
201	70	104
202	71	104
203	72	104
204	72	104
205	72	103
206	73	104
207	74	104
208	74	104
209	75	103
210	75	103
211	75	102
212	76	102
213	76	101
214	76	101
215	76	100
216	77	100
217	77	99
218	77	99
219	77	99
220	78	98
221	78	98
222	78	97
223	78	97
224	79	96
225	79	96
226	79	95
227	79	95
228	80	94
229	80	94
230	81	95
231	82	94
232	82	94
233	82	93
234	82	93
235	82	92
236	83	92
237	83	91
238	83	91
239	84	91
240	84	90
241	84	90
242	84	89
243	85	89
244	85	89
245	86	89
246	86	89
247	87	88
248	88	88
249	88	88
250	89	88
251	89	88
252	89	87
253	90	87
254	90	86
255	91	86
256	91	86
257	92	86
258	92	86
259	93	85
260	93	85
261	93	85
262	93	84
263	94	84
264	94	83
265	94	83
266	95	82
267	95	82
268	96	82
269	97	82
270	97	82
271	98	82
272	98	81
273	98	81
274	99	81
275	99	80
276	99	80
277	99	79
278	100	79
279	100	79
280	100	78
281	101	78
282	101	77
283	101	77
284	101	76
285	102	76
286	102	76
287	103	76
288	103	75
289	103	75
290	104	74
291	104	74
292	105	74
293	105	73
294	106	73
295	106	73
296	107	73
297	107	72
298	107	72
299	107	71
300	108	71
301	108	71
302	108	70
303	108	70
304	109	69
305	110	70
306	111	69
307	111	69
308	112	69
309	112	68
310	113	68
311	114	68
312	114	68
313	115	68
314	115	67
315	115	67
316	115	66
317	116	66
318	117	66
319	117	66
320	117	65
321	118	65
322	119	65
323	120	65
324	120	64
325	120	64
326	121	64
327	121	63
328	121	63
329	122	63
330	123	63
331	123	62
332	124	62
333	124	61
334	124	61
335	125	61
336	125	60
337	125	60
338	126	60
339	126	59
340	127	59
341	127	58
342	127	58
343	127	58
344	128	57
345	128	57
346	128	56
347	129	56
348	129	55
349	129	55
350	129	55
351	130	54
352	130	54
353	130	53
354	131	53
355	131	53
356	131	52
357	131	52
358	132	51
359	132	51
360	132	51
361	132	50
362	133	50
363	133	49
364	133	49
365	133	48
366	133	48
367	134	48
368	134	47
369	134	47
370	135	46
371	135	46
372	136	46
373	136	45
374	136	45
375	136	45
376	137	44
377	137	44
378	137	43
379	138	43
380	138	43
381	138	42
382	138	42
383	138	41
384	140	41
385	140	41
386	140	41
387	141	40
388	142	40
389	142	40
390	143	39
391	143	39
392	143	39
393	144	38
394	144	38
395	144	38
396	145	37
397	146	37
398	146	37
399	146	36
400	147	36
401	147	36
402	148	35
403	148	35
404	148	34
405	148	34
406	149	34
407	149	33
408	149	33
409	149	32
410	150	32
411	150	32
412	150	31
413	150	31
414	150	30
415	151	30
416	151	30
417	151	29
418	152	29
419	152	29
420	152	28
421	152	28
422	153	27
423	153	27
424	153	27
425	159	27
426	160	27
427	160	26
428	160	26
429	160	26
430	161	25
431	161	25
432	161	24
433	161	24
434	162	24
435	162	23
436	162	23
437	162	23
438	162	22
439	163	22
440	163	21
441	163	21
442	163	21
443	164	20
444	164	20
445	164	19
446	164	19
447	165	19
448	165	18
449	165	18
450	165	18
451	166	17
452	166	17
453	168	17
454	168	16
455	169	16
456	169	15
457	169	15
458	170	15
459	170	14
460	170	14
461	171	14
462	171	13
463	171	13
464	171	12
465	172	12
466	172	12
467	172	11
468	172	11
469	173	11
470	173	10
471	173	10
472	174	9
473	174	9
474	174	9
475	174	8
476	175	8
477	175	8
478	175	7
479	176	7
480	176	6
481	176	6
482	177	6
483	177	5
484	177	5
485	177	5
486	179	4
487	180	4
488	180	4
489	180	3
490	180	3
491	181	2
492	181	2
493	181	2
494	182	1
495	182	1
496	183	1
497	183	0
498	183	0
499	184	0
